# Symmetry: L_e-L_tau 
# Format: log10(m_Z'/eV), log10(G') 
# Created: 2024-03-28 [Pragyanprasu Swain]
# Last updated 2024-03-28 [Pragyanprasu Swain]


-35.	-29.430160357
-34.91852955969746	-29.429329358508912
-34.75	-29.427610357
-34.67699535430989	-29.42628167244844
-34.5	-29.423060356999997
-34.44120255736869	-29.42116707934727
-34.25	-29.415010357
-34.213986667466415	-29.41296479971209
-34.	-29.400810356999997
-33.998238354347826	-29.40063419243478
-33.991896430000004	-29.4
-33.80258618043479	-29.381068975043476
-33.75	-29.375810357
-33.6266672470015	-29.35439979107946
-33.5	-29.332410356999997
-33.46583787042683	-29.32229836664634
-33.42428933445946	-29.31
-33.32864274847561	-29.28168861054878
-33.25	-29.258410357
-33.204457722314444	-29.2363952199668
-33.170541255688875	-29.22
-33.097746790372305	-29.18481115546597
-33.	-29.137560356999998
-32.99302807358908	-29.13250989350793
-32.98956328409719	-29.13
-32.910032868867575	-29.07238816720767
-32.865322533130865	-29.04
-32.827037664146076	-29.012266440907414
-32.75	-28.956460356999997
-32.744972484824906	-28.951809905463033
-32.743015830270274	-28.95
-32.67493357431907	-28.887023913245134
-32.64571853297297	-28.86
-32.604894663813226	-28.822237921027238
-32.548421235675676	-28.77
-32.53485575330739	-28.75745192880934
-32.5	-28.725210356999998
-32.46662949734278	-28.6920133809566
-32.45455332026538	-28.68
-32.4001990279008	-28.625928349955714
-32.36408287394451	-28.59
-32.333768558458814	-28.559843318954826
-32.27361242762365	-28.5
-32.26733808901683	-28.49375828795394
-32.25	-28.476510357
-32.20108813281365	-28.427608272187086
-32.18347633826765	-28.41
-32.13490192896014	-28.36143530557435
-32.093458334666934	-28.32
-32.068715725106635	-28.295262338961614
-32.003440331066216	-28.23
-32.00252952125312	-28.229089372348874
-32.	-28.226560357
-31.936315217039436	-28.162926521865803
-31.913370339271417	-28.14
-31.87009979620365	-28.096764073366685
-31.823298281625302	-28.05
-31.803884375367865	-28.03060162486757
-31.75	-27.976760357
-31.737628906849718	-27.964453593534103
-31.733152033574587	-27.96
-31.671198437407735	-27.898368562533218
-31.64268158725372	-27.87
-31.604767967965753	-27.83228353153233
-31.55221114093285	-27.78
-31.538337498523767	-27.766198500531445
-31.5	-27.728060357
-31.471262188915734	-27.700345611990336
-31.4605346775197	-27.69
-31.403306888402295	-27.634809520175175
-31.367212404603897	-27.6
-31.335351587888855	-27.569273428360013
-31.2738901316881	-27.51
-31.267396287375416	-27.50373733654485
-31.25	-27.486960357
-31.196983090261284	-27.439086087505938
-31.175846780730897	-27.42
-31.125724182897862	-27.374739294156768
-31.07617900664452	-27.33
-31.054465275534444	-27.3103925008076
-31.	-27.261210356999996
-30.98270800831567	-27.246225117006357
-30.975524628432957	-27.24
-30.909334455405187	-27.18263959605413
-30.8716704858066	-27.15
-30.8359609024947	-27.119054075101907
-30.767816343180247	-27.06
-30.762587349584216	-27.05546855414968
-30.75	-27.044560356999998
-30.67720136984964	-26.99620750685413
-30.637744117735622	-26.97
-30.589327907635226	-26.93784195325132
-30.502242762722073	-26.88
-30.501454445420816	-26.879476399648507
-30.5	-26.878510357
-30.37495004662334	-26.835017983215597
-30.25	-26.791560356999998
-30.246541761968086	-26.791244965691487
-30.232890822368425	-26.79
-30.047073676861704	-26.773053476329785
-30.	-26.768760356999998
-29.872145115284493	-26.746027758497583
-29.75	-26.724310357
-29.618021948968515	-26.747512098371335
-29.5	-26.768260357
-29.303849548850575	-26.770614162413793
-29.25	-26.771260357
-29.04904016638466	-26.772345540101522
-29.	-26.772610356999998
-28.839853645787386	-26.75765268751654
-28.75	-26.749260356999997
-28.58753180408971	-26.7584885505277
-28.5	-26.763460357
-28.3413491075	-26.757114321299998
-28.25	-26.753460356999998
-28.131093512010676	-26.742806335676157
-28.	-26.731060356999997
-27.9252278358209	-26.726917979104478
-27.75	-26.717210357
-27.713843787815126	-26.713016236386554
-27.601634853448278	-26.7
-27.524768157563027	-26.69108346327731
-27.5	-26.688210357
-27.37174424893408	-26.656172070383732
-27.25	-26.625760356999997
-27.2327830926371	-26.616198086650645
-27.22162341195535	-26.61
-27.13446541730391	-26.56159244977059
-27.05957803925099	-26.52
-27.036147741970723	-26.50698681289054
-27.	-26.486910357
-26.92309411216216	-26.45768611962162
-26.850235902631578	-26.43
-26.80147249054054	-26.411469903405404
-26.75	-26.391910357
-26.6645649160632	-26.370756630217247
-26.540345892568663	-26.34
-26.516441150427916	-26.33408118584595
-26.5	-26.330010357
-26.344519321803343	-26.305973044150797
-26.25	-26.291360357
-26.15722216913414	-26.28340001911171
-26.	-26.269910357
-25.950372988534397	-26.267865724127617
-25.75	-26.259610357
-25.724508336870027	-26.25917699872679
-25.5	-26.255360357
-25.48536221463681	-26.25526960273075
-25.25	-26.253810357
-25.23948576986755	-26.25378512284768
-25.	-26.253210357
-24.9910971797005	-26.25320501530782
-24.75	-26.253060357
-24.741503728484176	-26.253058657745697
-24.5	-26.253010357
-24.491642540255413	-26.25300868550805
-24.25	-26.252960357
-24.241776786111114	-26.252960357
-24.	-26.252960357
-23.991776786111114	-26.252960357
-23.75	-26.252960357
-23.741776786111114	-26.252960357
-23.5	-26.252960357
-23.491776786111114	-26.252960357
-23.25	-26.252960357
-23.241776786111114	-26.252960357
-23.	-26.252960357
-22.991776786111114	-26.252960357
-22.75	-26.252960357
-22.741776786111114	-26.252960357
-22.5	-26.252960357
-22.491776786111114	-26.252960357
-22.25	-26.252960357
-22.241776786111114	-26.252960357
-22.	-26.252960357
-21.991781352026653	-26.252958713270406
