	1e-15	0.0541584
	1.12202e-15	0.0682225
	1.25893e-15	0.0859451
	1.41254e-15	0.108281
	1.58489e-15	0.136433
	1.77828e-15	0.171923
	1.99526e-15	0.216669
	2.23872e-15	0.273097
	2.51189e-15	0.344271
	2.81838e-15	0.434065
	3.16228e-15	0.547377
	3.54813e-15	0.69041
	3.98107e-15	0.871017
	4.46684e-15	1.09915
	5.01187e-15	1.38742
	5.62341e-15	1.75186
	6.30957e-15	2.2128
	7.07946e-15	2.79613
	7.94328e-15	3.53478
	8.91251e-15	4.47074
	1e-14	5.6576
	1.12202e-14	7.14988
	1.25893e-14	8.85969
	1.41254e-14	10.4941
	1.58489e-14	12.61
	1.77828e-14	15.3861
	1.99526e-14	19.0231
	2.23872e-14	23.7842
	2.51189e-14	30.0149
	2.81838e-14	36.5415
	3.16228e-14	44.7314
	3.54813e-14	55.6973
	3.98107e-14	67.2739
	4.46684e-14	82.2397
	5.01187e-14	100.314
	5.62341e-14	122.028
	6.30957e-14	150.271
	7.07946e-14	188.684
	7.94328e-14	242.823
	8.91251e-14	317.2
	1e-13	422.916
