	1e-14	0.386227
	1.12202e-14	0.486147
	1.25893e-14	0.611904
	1.41254e-14	0.770175
	1.58489e-14	0.969359
	1.77828e-14	1.22002
	1.99526e-14	1.52377
	2.23872e-14	1.90266
	2.51189e-14	2.38161
	2.81838e-14	2.98667
	3.16228e-14	3.75065
	3.54813e-14	4.71484
	3.98107e-14	5.93117
	4.46684e-14	7.46494
	5.01187e-14	9.39828
	5.62341e-14	11.8344
	6.30957e-14	14.9031
	7.07946e-14	18.697
	7.94328e-14	22.8749
	8.91251e-14	28.135
	1e-13	34.7588
	1.12202e-13	42.5842
	1.25893e-13	51.4357
	1.41254e-13	60.7893
	1.58489e-13	70.089
	1.77828e-13	80.352
	1.99526e-13	93.9519
	2.23872e-13	112.21
	2.51189e-13	134.314
	2.81838e-13	160.18
	3.16228e-13	195.501
	3.54813e-13	243.931
	3.98107e-13	311.979
	4.46684e-13	407.846
	5.01187e-13	542.678
	5.62341e-13	731.083
	6.30957e-13	991.315
	7.07946e-13	1344.85
	7.94328e-13	1815.01
	8.91251e-13	2421.06
	1e-12	3181.5
