3e-16 0.00245004
3.36606e-16 0.00308519
3.77679e-16 0.00388513
4.23762e-16 0.00489264
4.75467e-16 0.00616167
5.33484e-16 0.00776018
5.98578e-16 0.00977388
6.71616e-16 0.0123108
7.53567e-16 0.0155071
8.45514e-16 0.0195347
9.48684e-16 0.0246101
1.06444e-15 0.031007
1.19432e-15 0.0390704
1.34005e-15 0.0492361
1.50356e-15 0.0620542
1.68702e-15 0.0782201
1.89287e-15 0.0986125
2.12384e-15 0.124343
2.38298e-15 0.156816
2.67375e-15 0.197813
3e-15 0.249588
3.36606e-15 0.314998
3.77679e-15 0.397671
4.23762e-15 0.50221
4.75467e-15 0.634469
5.33484e-15 0.801894
5.98578e-15 1.01397
6.71616e-15 1.28282
7.53567e-15 1.51685
8.45514e-15 1.6525
9.48684e-15 1.85232
1.06444e-14 2.13818
1.19432e-14 2.53902
1.34005e-14 3.09315
1.50356e-14 3.85013
1.68702e-14 4.87351
1.89287e-14 5.42547
2.12384e-14 6.26341
2.38298e-14 7.52549
2.67375e-14 8.51718
3e-14 9.65082
3.36606e-14 10.8442
3.77679e-14 12.101
4.23762e-14 13.5055
4.75467e-14 15.9227
5.33484e-14 19.2867
5.98578e-14 25.8779
6.71616e-14 36.2858
7.53567e-14 54.2299
8.45514e-14 83.0532
9.48684e-14 128.023
1.06444e-13 197.024
1.19432e-13 299.03
1.34005e-13 446.14
1.50356e-13 653.86
1.68702e-13 937.683
1.89287e-13 1314.77
2.12384e-13 1798.33
2.38298e-13 2397.1
2.67375e-13 3107.13
3e-13 3989.25
3.36606e-13 5070.83
3.77679e-13 6240.67
4.23762e-13 7558.89
4.75467e-13 8948.26
5.33484e-13 10000
5.98578e-13 10000
6.71616e-13 10000
7.53567e-13 10000
8.45514e-13 10000
9.48684e-13 10000
1.06444e-12 10000
1.19432e-12 10000
1.34005e-12 10000
1.50356e-12 10000
1.68702e-12 10000
1.89287e-12 10000
2.12384e-12 10000
2.38298e-12 10000
2.67375e-12 10000
